"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","EV","ERA","FIP","xFIP","WAR","playerid"
"Nick Vincent","Marlins","1","2","3","21","0","22.1","6.85","2.42","2.01",".286","82.6%","33.8%","18.5%","90.5","4.43","5.52","4.94","-0.2","7555"
"Mitch Keller","Pirates","1","1","0","5","5","21.2","6.65","7.48","1.66",".104","93.8%","44.2%","16.0%","88.5","2.91","6.75","6.57","-0.2","17594"
"Tyler Zuber","Royals","1","2","0","23","0","22.0","12.27","8.18","1.64",".250","82.2%","38.3%","23.5%","88.9","4.09","5.69","4.82","-0.2","20379"
"Ross Stripling","- - -","3","3","1","12","9","49.1","7.30","3.28","2.37",".291","66.9%","39.9%","22.8%","91.2","5.84","6.15","4.95","-0.2","13273"
"Patrick Sandoval","Angels","1","5","0","9","6","36.2","8.10","2.95","2.45",".260","65.7%","55.3%","32.3%","88.1","5.65","5.92","4.00","-0.3","19447"
"Colten Brewer","Red Sox","0","3","0","11","4","25.2","8.77","4.91","2.10",".329","77.1%","48.8%","31.6%","89.2","5.61","6.04","4.42","-0.3","12997"
"Michael Fulmer","Tigers","0","2","0","10","10","27.2","6.51","3.90","2.60",".389","66.2%","36.0%","22.2%","90.8","8.78","6.91","5.66","-0.3","13218"
"Erick Fedde","Nationals","2","4","0","11","8","50.1","5.01","3.93","1.79",".233","81.0%","54.2%","23.3%","89.6","4.29","6.15","5.22","-0.3","17425"
"Robbie Erlin","- - -","0","0","0","9","5","26.2","8.44","2.36","2.70",".313","58.4%","28.7%","18.6%","89.8","8.10","6.23","5.44","-0.3","10354"
"Derek Holland","Pirates","1","3","0","12","5","40.2","9.96","3.32","2.66",".288","62.5%","37.4%","26.1%","92.5","6.86","6.14","4.49","-0.3","4141"
"Taylor Widener","Diamondbacks","0","1","0","12","0","20.0","9.90","5.40","2.25",".196","86.4%","37.3%","20.0%","86.8","4.50","6.49","5.65","-0.3","19266"
"Justin Dunn","Mariners","4","1","0","10","10","45.2","7.49","6.11","1.97",".179","82.0%","32.3%","16.7%","92.0","4.34","6.54","6.23","-0.3","19268"
"Jake Woodford","Cardinals","1","0","0","12","1","21.0","6.86","2.14","3.00",".228","78.9%","45.3%","29.2%","89.9","5.57","6.72","4.59","-0.3","18674"
"Jairo Diaz","Rockies","1","2","4","24","0","20.0","7.65","6.30","1.80",".397","63.7%","42.0%","18.2%","89.8","7.65","6.64","6.16","-0.3","12774"
"T.J. McFarland","Athletics","2","0","0","23","0","20.2","3.92","2.18","2.18",".292","88.0%","59.7%","27.8%","90.8","4.35","6.34","4.87","-0.4","3237"
"Touki Toussaint","Braves","0","2","0","7","5","24.1","11.10","5.92","2.59",".323","52.4%","38.8%","33.3%","89.2","8.88","7.05","4.98","-0.4","16929"
"Trevor Williams","Pirates","2","8","0","11","11","55.1","7.97","3.42","2.44",".313","70.0%","44.6%","24.2%","87.2","6.18","6.30","4.94","-0.4","16977"
"Robbie Ray","- - -","2","5","0","12","11","51.2","11.85","7.84","2.26",".323","73.0%","24.3%","18.6%","91.6","6.62","6.50","5.84","-0.4","11486"
