pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment
CH,2019-09-24,84.5,-3.36,5.16,Max Scherzer,516416,453286,,ball,,,,,14,,R,R,R,WSH,PHI,B,,,1,2,2019,-1.23,0.18,0.02,0.67,,,,0,6,Top,,,,,543228,,190925_005416,10.24264509,-122.5355419,-4.422948886,-14.292844,22.86130492,-29.78308301,3.14,1.51,,,,84.1,1529,6.1,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.38,,,,,,,,43,5,Changeup,2,4,4,2,4,2,4,2,Standard,Standard
FF,2019-09-24,95.3,-3.22,5.25,Max Scherzer,516416,453286,,foul,,,,,12,,R,R,R,WSH,PHI,S,,,1,2,2019,-1,1.16,0.07,3.67,,,,0,6,Top,,,,,543228,,190925_005357,10.81613198,-138.3714305,-1.083712307,-15.16462063,30.23043503,-17.42029747,3.14,1.53,281,,,94.8,2526,6.1,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.43,,,,,,,,43,4,4-Seam Fastball,2,4,4,2,4,2,4,2,Standard,Standard
CH,2019-09-24,84.9,-3.34,5.26,Max Scherzer,516416,453286,,ball,,,,,14,,R,R,R,WSH,PHI,B,,,0,2,2019,-1.36,0.12,1.38,0.73,,,,0,6,Top,,,,,543228,,190925_005331,13.67880208,-122.8706459,-4.465262318,-16.30667496,22.29585408,-30.30953881,3.11,1.48,,,,84.8,1474,6.3,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.17,,,,,,,,43,3,Changeup,2,4,4,2,4,2,4,2,Standard,Standard
SL,2019-09-24,85.5,-3.44,5.19,Max Scherzer,516416,453286,,foul,,,,,6,,R,R,R,WSH,PHI,S,,,0,1,2019,0.19,0.28,0.64,2.44,,,,0,6,Top,,,,,543228,,190925_005307,9.20926566,-124.2896472,-0.784488466,0.340752806,22.53676332,-29.36128258,3.11,1.51,268,,,85.6,2660,6.2,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.33,,,,,,,,43,2,Slider,2,4,4,2,4,2,4,2,Standard,Standard
SL,2019-09-24,84.7,-3.58,5.2,Max Scherzer,516416,453286,,called_strike,,,,,8,,R,R,R,WSH,PHI,S,,,0,0,2019,0.03,0.25,-0.05,1.83,,,,0,6,Top,,,,,543228,,190925_005245,8.165202023,-123.2304886,-2.12444737,-1.108814201,20.97022033,-29.43832226,3.14,1.56,,,,85,2570,6.2,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.34,,,,,,,,43,1,Slider,2,4,4,2,4,2,4,2,Standard,Standard
FC,2019-09-24,90.1,-3.51,5.05,Max Scherzer,489149,453286,strikeout,swinging_strike,,,,,14,Logan Morrison strikes out swinging.  ,R,L,R,WSH,PHI,S,2,,1,2,2019,0.05,0.4,0.82,1.35,,514917,,2,5,Top,,,,,543228,,190925_004242,10.5868387,-130.8645286,-4.111328926,-1.357169707,24.0191912,-26.98197307,3.46,1.65,,,,90.1,2322,6.1,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.42,,,0,1,0,0,,39,4,Cutter,2,4,4,2,4,2,4,2,Infield shift,Standard
FF,2019-09-24,95.2,-3.33,5.28,Max Scherzer,489149,453286,,foul,,,,,12,,R,L,R,WSH,PHI,S,,,1,1,2019,-1.03,1.31,0.1,3.54,,514917,,2,5,Top,,,,,543228,,190925_004156,11.23195843,-138.1665598,-1.808922409,-15.61101827,30.72491881,-15.3865042,3.4,1.56,,,,94.7,2401,6.2,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.34,,,,,,,,39,3,4-Seam Fastball,2,4,4,2,4,2,4,2,Infield shift,Standard
CH,2019-09-24,84,-3.57,5.09,Max Scherzer,489149,453286,,foul,,,,,13,,R,L,R,WSH,PHI,S,,,1,0,2019,-1.33,0.53,-0.57,1.55,,514917,,2,5,Top,,,,,543228,,190925_004122,9.48042707,-121.927614,-2.812977549,-14.91176809,22.6408837,-26.63793178,3.55,1.68,4,,,83.6,1463,6.1,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.43,,,,,,,,39,2,Changeup,2,4,4,2,4,2,4,2,Infield shift,Standard
CH,2019-09-24,85.7,-3.25,5.33,Max Scherzer,489149,453286,,ball,,,,,13,,R,L,R,WSH,PHI,B,,,0,0,2019,-1.4,0.65,-1.79,1.76,,514917,,2,5,Top,,,,,543228,,190925_004058,6.2618098,-124.6471322,-3.462599097,-15.81528491,24.9995362,-24.9724751,3.52,1.73,,,,85.6,1437,6.3,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.25,,,,,,,,39,1,Changeup,2,4,4,2,4,2,4,2,Infield shift,Standard
FF,2019-09-24,94.2,-3.32,5.15,Max Scherzer,514917,453286,double,hit_into_play_no_out,,,,,4,Cesar Hernandez doubles (29) on a sharp line drive to center fielder Victor Robles.  ,R,L,R,WSH,PHI,X,8,line_drive,3,1,2019,-1.21,1.23,-0.51,2.37,,,,2,5,Top,84.65,57.94,,,543228,,190925_004011,9.920645541,-136.7530521,-4.172269448,-17.28952143,30.12044814,-16.1789656,3.37,1.65,348,101.9,16,93.7,2426,6.1,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.4,0.6,0.687,1.25,1,1,1,4,38,5,4-Seam Fastball,2,4,4,2,4,2,4,2,Standard,Standard
CH,2019-09-24,85.5,-3.32,5.24,Max Scherzer,514917,453286,,ball,,,,,14,,R,L,R,WSH,PHI,B,,,2,1,2019,-1.53,0.11,0.65,1.1,,,,2,5,Top,,,,,543228,,190925_003944,12.314343,-123.8614828,-3.62139422,-18.08591498,24.35751306,-30.57524774,3.34,1.65,,,,84.9,1518,6.1,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.37,,,,,,,,38,4,Changeup,2,4,4,2,4,2,4,2,Standard,Standard
FF,2019-09-24,94.3,-3.26,5.39,Max Scherzer,514917,453286,,ball,,,,,12,,R,L,R,WSH,PHI,B,,,1,1,2019,-1.1,1.32,1.12,3.5,,,,2,5,Top,,,,,543228,,190925_003926,13.68854885,-136.5918942,-2.072271046,-16.65223251,29.97903786,-15.51567535,3.4,1.65,,,,93.6,2447,6.1,565970,453286,543228,571431,452678,543685,607208,665742,645302,594809,54.37,,,,,,,,38,3,4-Seam Fastball,2,4,4,2,4,2,4,2,Standard,Standard
